chiSquare info:
=======selected========
护理 139.541924743
美容 109.728270833
美发 99.0576860046
染发 80.5718475073
入住 65.4600301659
烫发 62.3015873016
面部 61.8500831431
早餐 54.3178973717
欧莱雅 53.246124031
男女 45.6000719014
补水 44.2431561997
鱼 40.9267503329
拍摄 39.1862926617
底片 38.1035996488
体检 37.2969460689
服装 36.5297530481
大床 35.4575163399
spa 35.3001801516
大酒店 33.8911938339
客房 32.8271367894
保暖内衣 32.5396825397
桑拿 30.212321615
游泳池 30.212321615
写真 30.212321615
理疗 28.9379233647
酒店 28.6259913395
虾 28.6150091519
餐饮 27.6129330788
健身房 27.6129330788
鸡 27.1021310246
牛肉 27.1021310246
锅 26.9050976403
牛 26.9050976403
经络 26.3928914505
美白 26.3928914505
美容院 26.3928914505
皇室 26.3928914505
机构 26.3928914505
美丽 26.3928914505
豪华 26.2532704892
免费 25.9321802742
火锅 25.5983666208
海鲜 25.5983666208
停车 25.1127348709
浦东 25.0288350634
香格里拉 25.0288350634
浦江 25.0288350634
宽带上网 25.0288350634
迎宾 25.0288350634
水晶 23.5238114063
门票 23.5238114063
医院 23.1078904992
婚纱摄影 22.4598930481
睫毛 22.4598930481
住宿 22.4598930481
摄影 22.4598930481
肉 22.3621071176
造型 22.1965121863
羊毛 22.1894332646
豆腐 21.1409395973
饼 21.1409395973
套餐 21.1124828269
调理 21.0295319761
水疗 21.0295319761
相册 19.9059740855
钱包 19.9059740855
套 18.8874208771
竹炭 18.4328837508
超声波 18.4328837508
抛光 18.4328837508
口腔 18.4328837508
检查 18.4328837508
一次性 18.3635313501
羊肉 18.2134108697
茶 18.0773544421
发型师 17.5446998723
保养 17.5446998723
护发 17.5446998723
蛋白 17.5446998723
形象设计 17.5446998723
胶原蛋白 17.5446998723
高蛋白 17.5446998723
设计师 17.5446998723
水洗 17.5446998723
年卡 17.5446998723
直发 17.5446998723
头皮 17.5446998723
尚品 17.5446998723
保湿 17.5446998723
面膜 17.5446998723
风情 17.5446998723
芳香 17.5446998723
手部 17.5446998723
眼部 17.5446998723
设计 17.5446998723
邂逅 17.5446998723
洗头 17.5446998723
疏通 17.5446998723
排毒 17.5446998723
滋养 17.5446998723
限时 17.3669467787
娱乐 17.3669467787
碗 16.7626384973
奶茶 16.7626384973
